Index: 1 Polarity: 4	Tweet ID: 1024	Username: kellan3		Text: Kobe is the best in the world not lebron .
Index: 2 Polarity: 4	Tweet ID: 1025	Username: jsincere15		Text: @asherroth World Cup 2010 Access?? Damn; that's a good look!
Index: 3 Polarity: 4	Tweet ID: 1026	Username: bire		Text: Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
Index: 4 Polarity: 4	Tweet ID: 3	Username: tprya		Text: @stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool; but the 2 is fantastic in its own right.
Index: 5 Polarity: 4	Tweet ID: 4	Username: vcu45		Text: Reading my kindle2...  Love it... Lee childs is good read.
Index: 6 Polarity: 4	Tweet ID: 5	Username: chadf		Text: Ok; first assesment of the #kindle2 ...it fucking rocks!!!
Index: 7 Polarity: 4	Tweet ID: 6	Username: SIX1		Text: @kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
Index: 8 Polarity: 4	Tweet ID: 7	Username: yamaram		Text: @mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
Index: 9 Polarity: 4	Tweet ID: 1031	Username: DoAndroidsDrea		Text: Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG
Index: 10 Polarity: 4	Tweet ID: 8	Username: GeorgeVHulm		Text: @richardebaker no. it is too big. I'm quite happy with the Kindle2.
Index: 11 Polarity: 0	Tweet ID: 9	Username: Seth93		Text: Fuck this economy. I hate aig and their non loan given asses.
Index: 12 Polarity: 4	Tweet ID: 10	Username: dcostali		Text: Jquery is my new best friend.
Index: 13 Polarity: 4	Tweet ID: 11	Username: PJ_Kin		Text: Loves twitter
Index: 14 Polarity: 4	Tweet ID: 12	Username: mandanicol		Text: how can you not love Obama? he makes jokes about himself.
Index: 15 Polarity: 2	Tweet ID: 13	Username: jpe		Text: Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
Index: 16 Polarity: 0	Tweet ID: 14	Username: kyleseller		Text: @Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan; but they want to destroy conservatism
Index: 17 Polarity: 4	Tweet ID: 15	Username: theviewfan		Text: House Correspondents dinner was last night whoopi; barbara &amp; sherri went; Obama got a standing ovation
Index: 18 Polarity: 4	Tweet ID: 16	Username: MumsF		Text: Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
Index: 19 Polarity: 0	Tweet ID: 17	Username: vincentx24		Text: dear nike; stop with the flywire. that shit is a waste of science. and ugly. love; @vincentx24x
Index: 20 Polarity: 4	Tweet ID: 18	Username: cameronwyli		Text: #lebron best athlete of our generation; if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2
Index: 21 Polarity: 0	Tweet ID: 19	Username: luv824		Text: I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
Index: 22 Polarity: 4	Tweet ID: 20	Username: mtgilliki		Text: i love lebron. http://bit.ly/PdHur
Index: 23 Polarity: 0	Tweet ID: 21	Username: ursecretdezir		Text: @ludajuice Lebron is a Beast; but I'm still cheering 4 the A..til the end.
Index: 24 Polarity: 4	Tweet ID: 22	Username: Native_0		Text: @Pmillzz lebron IS THE BOSS
Index: 25 Polarity: 4	Tweet ID: 23	Username: princezzcut		Text: @sketchbug Lebron is a hometown hero to me; lol I love the Lakers but let's go Cavs; lol
Index: 26 Polarity: 4	Tweet ID: 24	Username: peterlikewha		Text: lebron and zydrunas are such an awesome duo
Index: 27 Polarity: 4	Tweet ID: 25	Username: emcee		Text: @wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
Index: 28 Polarity: 4	Tweet ID: 26	Username: CocoSavann		Text: downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
Index: 29 Polarity: 4	Tweet ID: 2080	Username: BillVic		Text: http://is.gd/ArUJ Good video from Google on using search options.
Index: 30 Polarity: 4	Tweet ID: 33	Username: DreambigRadi		Text: good news; just had a call from the Visa office; saying everything is fine.....what a relief! I am sick of scams out there! Stealing!
Index: 31 Polarity: 4	Tweet ID: 34	Username: andrewwatso		Text: http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
Index: 32 Polarity: 4	Tweet ID: 35	Username: fredwilso		Text: In montreal for a long weekend of R&amp;R. Much needed.
Index: 33 Polarity: 0	Tweet ID: 2083	Username: xmikeflhxc		Text: @ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
